County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Adair                         13484                         2754                          20.42%
Allen                         14297                         2484                          17.37%
Anderson                      17472                         4471                          25.59%
Ballard                       6337                          1638                          25.85%
Barren                        30176                         9404                          31.16%
Bath                          9166                          1621                          17.68%
Bell                          20954                         2750                          13.12%
Boone                         95555                         11739                         12.29%
Bourbon                       14432                         3030                          21.00%
Boyd                          38735                         7460                          19.26%
Boyle                         21241                         4761                          22.41%
Bracken                       6208                          989                           15.93%
Breathitt                     11622                         3809                          32.77%
Breckinridge                  14841                         2845                          19.17%
Bullitt                       56745                         9464                          16.68%
Butler                        9309                          1358                          14.59%
Caldwell                      10018                         2238                          22.34%
Calloway                      28666                         5729                          19.99%
Campbell                      69999                         9906                          14.15%
Carlisle                      3999                          1063                          26.58%
Carroll                       7817                          1294                          16.55%
Carter                        19615                         2956                          15.07%
Casey                         10805                         2014                          18.64%
Christian                     48874                         7148                          14.63%
Clark                         27519                         5586                          20.30%
Clay                          14641                         2820                          19.26%
Clinton                       7458                          1893                          25.38%
Crittenden                    6657                          1487                          22.34%
Cumberland                    5382                          1205                          22.39%
Daviess                       71470                         14663                         20.52%
Edmonson                      8898                          1308                          14.70%
Elliott                       5173                          929                           17.96%
Estill                        10432                         2054                          19.69%
Fayette                       217669                        49579                         22.78%
Fleming                       10594                         2180                          20.58%
Floyd                         30414                         8445                          27.77%
Franklin                      35936                         14351                         39.93%
Fulton                        5417                          915                           16.89%
Gallatin                      6287                          831                           13.22%
Garrard                       12780                         2716                          21.25%
Grant                         17452                         2116                          12.12%
Graves                        25184                         7320                          29.07%
Grayson                       18046                         2838                          15.73%
Green                         8690                          1673                          19.25%
Greenup                       28810                         4749                          16.48%
Hancock                       6655                          1530                          22.99%
Hardin                        77596                         13146                         16.94%
Harlan                        20505                         2499                          12.19%
Harrison                      13395                         2712                          20.25%
Hart                          13109                         2784                          21.24%
Henderson                     34143                         8897                          26.06%
Henry                         11785                         2503                          21.24%
Hickman                       3718                          1110                          29.85%
Hopkins                       34073                         6888                          20.22%
Jackson                       9904                          2269                          22.91%
Jefferson                     569338                        139983                        24.59%
Jessamine                     38069                         6886                          18.09%
Johnson                       17823                         3052                          17.12%
Kenton                        125105                        17661                         14.12%
Knott                         11262                         2069                          18.37%
Knox                          24004                         2685                          11.19%
Larue                         10372                         2454                          23.66%
Laurel                        45327                         7224                          15.94%
Lawrence                      12326                         1924                          15.61%
Lee                           5283                          1691                          32.01%
Leslie                        8509                          1464                          17.21%
Letcher                       16290                         4718                          28.96%
Lewis                         10139                         1392                          13.73%
Lincoln                       17905                         2727                          15.23%
Livingston                    7509                          1562                          20.80%
Logan                         17366                         3406                          19.61%
Lyon                          6309                          1658                          26.28%
Madison                       61317                         12316                         20.09%
Magoffin                      10074                         1541                          15.30%
Marion                        12970                         2633                          20.30%
Marshall                      25254                         6205                          24.57%
Martin                        8298                          1015                          12.23%
Mason                         12852                         2245                          17.47%
McCracken                     52676                         12257                         23.27%
McCreary                      11113                         1256                          11.30%
McLean                        6963                          1724                          24.76%
Meade                         20695                         4105                          19.84%
Menifee                       5291                          877                           16.58%
Mercer                        17319                         3682                          21.26%
Metcalfe                      7666                          2324                          30.32%
Monroe                        8580                          3229                          37.63%
Montgomery                    20108                         3524                          17.53%
Morgan                        9112                          1989                          21.83%
Muhlenberg                    22619                         4437                          19.62%
Nelson                        32416                         6257                          19.30%
Nicholas                      5392                          953                           17.67%
Ohio                          17331                         3460                          19.96%
Oldham                        48923                         8979                          18.35%
Owen                          7959                          1660                          20.86%
Owsley                        3579                          505                           14.11%
Pendleton                     10242                         1479                          14.44%
Perry                         20772                         3724                          17.93%
Pike                          48823                         12214                         25.02%
Powell                        9825                          1823                          18.55%
Pulaski                       46546                         10775                         23.15%
Robertson                     1717                          358                           20.85%
Rockcastle                    12218                         3016                          24.68%
Rowan                         14316                         3412                          23.83%
Russell                       13921                         2744                          19.71%
Scott                         37527                         7482                          19.94%
Shelby                        30633                         7217                          23.56%
Simpson                       13289                         2094                          15.76%
Spencer                       13792                         2427                          17.60%
Taylor                        17878                         3853                          21.55%
Todd                          8261                          1280                          15.49%
Trigg                         11474                         2345                          20.44%
Trimble                       7084                          1258                          17.76%
Union                         10218                         2630                          25.74%
Warren                        77771                         15357                         19.75%
Washington                    8600                          1723                          20.03%
Wayne                         14593                         1841                          12.62%
Webster                       9651                          2949                          30.56%
Whitley                       26627                         4737                          17.79%
Wolfe                         5585                          1084                          19.41%
Woodford                      20113                         5378                          26.74%
Total:                        3243078                       669850                        20.65%
