county,FIP
adair,21001
allen,21003
anderson,21005
ballard,21007
barren,21009
bath,21011
bell,21013
boone,21015
bourbon,21017
boyd,21019
boyle,21021
bracken,21023
breathitt,21025
breckinridge,21027
bullitt,21029
butler,21031
caldwell,21033
calloway,21035
campbell,21037
carlisle,21039
carroll,21041
carter,21043
casey,21045
christian,21047
clark,21049
clay,21051
clinton,21053
crittenden,21055
cumberland,21057
daviess,21059
edmonson,21061
elliott,21063
estill,21065
fayette,21067
fleming,21069
floyd,21071
franklin,21073
fulton,21075
gallatin,21077
garrard,21079
grant,21081
graves,21083
grayson,21085
green,21087
greenup,21089
hancock,21091
hardin,21093
harlan,21095
harrison,21097
hart,21099
henderson,21101
henry,21103
hickman,21105
hopkins,21107
jackson,21109
jefferson,21111
jessamine,21113
johnson,21115
kenton,21117
knott,21119
knox,21121
larue,21123
laurel,21125
lawrence,21127
lee,21129
leslie,21131
letcher,21133
lewis,21135
lincoln,21137
livingston,21139
logan,21141
lyon,21143
mccracken,21145
mccreary,21147
mclean,21149
madison,21151
magoffin,21153
marion,21155
marshall,21157
martin,21159
mason,21161
meade,21163
menifee,21165
mercer,21167
metcalfe,21169
monroe,21171
montgomery,21173
morgan,21175
muhlenberg,21177
nelson,21179
nicholas,21181
ohio,21183
oldham,21185
owen,21187
owsley,21189
pendleton,21191
perry,21193
pike,21195
powell,21197
pulaski,21199
robertson,21201
rockcastle,21203
rowan,21205
russell,21207
scott,21209
shelby,21211
simpson,21213
spencer,21215
taylor,21217
todd,21219
trigg,21221
trimble,21223
union,21225
warren,21227
washington,21229
wayne,21231
webster,21233
whitley,21235
wolfe,21237
woodford,21239
