county,precinct,OMALLEY,SANDERS,CLINTON,FUENTE,UNCOMMITTED,TOTAL
21001,A102,0,10,3,0,1,14
21001,A104,2,18,4,0,1,25
21001,A105,1,9,9,0,0,19
21001,B102,1,33,38,0,3,75
21001,B104,0,25,15,0,2,42
21001,C102,4,28,31,0,2,65
21001,C104,0,32,36,0,0,68
21001,D101,0,14,8,0,4,26
21001,D103,0,25,20,0,1,46
21001,D104,1,16,51,0,1,69
21001,E101,1,15,16,0,4,36
21001,E104,1,37,58,0,4,100
21001,F101,1,48,58,0,6,113
21001,F103,2,19,24,1,3,49
21001,G101,0,34,45,1,3,83
21001,G102,3,34,34,0,6,77
21003,A101,0,27,39,0,5,71
21003,A102,1,45,22,3,3,74
21003,B101,2,35,38,0,4,79
21003,B102,0,29,14,0,4,47
21003,B103,1,26,18,0,2,47
21003,C101,0,43,58,0,1,102
21003,C102,0,49,42,1,2,94
21003,D101,1,40,36,0,7,84
21003,D102,0,28,27,1,5,61
21003,D103,0,37,51,0,9,97
21003,E101,0,15,13,0,3,31
21003,E102,0,31,30,1,3,65
21003,E103,0,19,14,0,1,34
21005,A101,4,104,103,2,9,222
21005,A102,2,102,56,2,17,179
21005,B101,2,110,96,0,15,223
21005,B102,14,176,101,2,34,327
21005,C101,6,95,121,2,32,256
21005,C102,6,122,78,0,14,220
21005,D101,4,95,48,1,10,158
21005,D102,8,156,97,1,18,280
21005,E101,8,213,158,6,46,431
21005,E103,9,97,81,0,18,205
21005,F101,1,90,49,1,11,152
21005,F102,2,82,28,2,7,121
21005,F103,3,47,25,1,5,81
21005,F104,4,122,50,0,20,196
21007,A101,3,51,20,0,9,83
21007,A102,6,87,78,0,32,203
21007,A103,2,27,8,0,12,49
21007,B101,1,69,59,0,19,148
21007,B102,5,22,12,0,9,48
21007,C101,2,39,23,0,8,72
21007,C102,1,42,23,0,7,73
21007,C103,3,30,22,0,8,63
21007,C104,5,38,19,0,6,68
21007,D101,2,97,57,0,21,177
21007,D102,1,45,21,0,11,78
21007,E101,1,80,29,0,16,126
21007,E102,1,27,21,0,10,59
21009,A101,10,118,136,3,29,296
21009,A102,0,60,110,1,7,178
21009,A103,2,112,73,1,21,209
21009,A104,0,32,20,0,8,60
21009,B101,5,151,95,3,29,283
21009,B102,3,104,85,1,24,217
21009,B103,7,66,28,0,10,111
21009,B104,7,120,80,0,18,225
21009,C101,1,68,47,0,16,132
21009,C102,4,98,59,0,18,179
21009,C103,1,69,69,2,18,159
21009,C104,4,124,59,0,16,203
21009,D101,1,107,63,2,32,205
21009,D102,3,178,104,1,48,334
21009,D103,8,117,130,0,33,288
21009,E101,5,114,74,2,14,209
21009,E102,1,73,50,0,14,138
21009,E103,4,109,69,1,31,214
21009,E104,5,113,56,1,34,209
21009,F101,6,97,66,1,14,184
21009,F102,3,95,62,1,19,180
21009,F103,4,136,108,1,39,288
21009,G101,3,124,86,1,25,239
21009,G102,0,90,66,0,11,167
21009,G103,6,119,102,1,25,253
21011,A101,3,40,33,0,3,79
21011,A102,1,32,46,0,4,83
21011,A103,1,47,31,1,2,82
21011,A104,0,28,22,1,1,52
21011,A105,2,79,70,0,8,159
21011,B102,1,44,63,1,6,115
21011,B103,2,108,97,1,11,219
21011,B104,0,55,32,2,8,97
21011,C101,3,54,57,1,8,123
21011,C102,0,74,58,0,12,144
21011,C103,0,38,52,1,7,98
21011,C104,1,23,42,0,8,74
21005,A102,1,19,17,0,4,41
21005,A103,2,28,28,0,1,59
21005,A104,2,42,54,0,5,103
21005,A105,0,20,33,0,1,54
21005,A106,0,38,30,0,1,69
21005,A107,0,10,12,0,1,23
21005,A108,1,49,44,1,1,96
21005,A109,0,69,45,1,4,119
21005,A110,1,37,23,0,4,65
21005,A111,2,49,63,0,1,115
21005,A112,0,33,20,0,3,56
21005,A113,0,39,59,0,7,105
21005,A114,2,40,62,0,4,108
21005,A115,0,55,53,0,1,109
21005,A116,0,26,36,0,0,62
21005,A117,0,49,55,0,3,107
21005,A118,1,27,33,0,2,63
21005,A119,0,19,21,0,1,41
21005,A120,3,34,53,0,4,94
21005,A121,0,54,62,0,1,117
21005,A122,0,31,31,0,4,66
21005,A123,0,49,23,0,1,73
21005,B114,1,31,28,0,5,65
21005,B115,1,25,23,0,3,52
21005,B116,0,27,36,1,0,64
21005,B117,1,58,64,2,1,126
21005,B118,0,24,42,0,1,67
21005,B119,0,23,45,0,0,68
