"county"|"precinct"
"barren"|"A104"
"bath"|"A105"
"bath"|"B104"
"bell"|"MP001"
"boone"|"A122"
"boone"|"A123"
"boone"|"B134"
"boyd"|"A114A"
"boyd"|"A122"
"boyd"|"B101A"
"boyd"|"B102A"
"boyd"|"B103A"
"boyd"|"B106A"
"boyd"|"B121A"
"boyd"|"C109A"
"boyd"|"C110"
"boyd"|"C111"
"breckinridge"|"F103"
"bullitt"|"A112"
"bullitt"|"A113"
"bullitt"|"C113"
"calloway"|"B109"
"calloway"|"C101"
"campbell"|"B805"
"campbell"|"B806"
"campbell"|"B807"
"campbell"|"C201"
"campbell"|"C202"
"campbell"|"C203"
"campbell"|"C204"
"campbell"|"B902"
"campbell"|"B905"
"campbell"|"B702"
"campbell"|"B704"
"campbell"|"B706"
"campbell"|"C101"
"campbell"|"C102"
"campbell"|"C103"
"campbell"|"C401"
"campbell"|"A402"
"campbell"|"A403"
"campbell"|"A405"
"campbell"|"A406"
"campbell"|"A408"
"campbell"|"A415"
"campbell"|"C416"
"campbell"|"A409"
"campbell"|"A410"
"campbell"|"A411"
"campbell"|"A412"
"campbell"|"A414"
"campbell"|"A418"
"campbell"|"A419"
"campbell"|"A417"
"campbell"|"B904"
"campbell"|"A601"
"campbell"|"A602"
"campbell"|"A603"
"campbell"|"A604"
"campbell"|"A605"
"campbell"|"B909"
"campbell"|"B901"
"campbell"|"A502"
"campbell"|"A503"
"campbell"|"A504"
"campbell"|"B903"
"campbell"|"B913"
"carter"|"D106"
"carter"|"D107"
"casey"|"MP001"
"clark"|"D101"
"clark"|"D102"
"clark"|"D103"
"clark"|"D104"
"clark"|"E101"
"clark"|"E102"
"clark"|"E103"
"clark"|"F101"
"clark"|"F102"
"clark"|"F103"
"clark"|"F104"
"clark"|"F105"
"clark"|"F106"
"clay"|"C104"
"cumberland"|"C103"
"daviess"|"H116"
"daviess"|"H117"
"fayette"|"A203"
"fayette"|"A204"
"fayette"|"B228"
"fayette"|"B229"
"fayette"|"B230"
"fayette"|"B231"
"fayette"|"B232"
